mu10,mu01,p,theta,sources,greedy_set,greedy,opt_set,opt,diff
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2132, 130, 481, 1348, 3064, 2871, 86]","Set([481, 1348, 2132])",0.11147784066401978,"Set([2871, 1348, 3064])",0.12181760754177562,0.09275176856823591
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2132, 130, 481, 1348, 3064, 2871, 86]","Set([481, 1348, 2132, 3064])",0.24407161594032378,"Set([481, 2871, 1348, 3064])",0.257455134647523,0.054834392174760445
0.0875031539561672,0.10248665990470492,0.751303158905281,0.913829670704444,"[2924, 2217, 654, 97, 2972, 3306]","Set([2217, 2972])",0.06337762892174836,"Set([2924, 2972])",0.065360785024565,0.031291105971559936
0.0875031539561672,0.10248665990470492,0.751303158905281,0.913829670704444,"[2924, 2217, 654, 97, 2972, 3306]","Set([2924, 2217, 2972])",0.10996575030236388,"Set([2924, 2972, 3306])",0.11819107315796407,0.07479895179165949
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]","Set([3159, 104, 1220])",0.11921604609063041,"Set([2836, 1220, 3050])",0.1251255180146561,0.049569433963052176
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3159, 3050, 2836, 1220, 104, 3762, 3916]","Set([3159, 104, 1220, 3050])",0.2729931034348523,"Set([3159, 2836, 1220, 3050])",0.28405200075867687,0.04050980477044803
0.05193040227965584,0.19478064660316252,0.8988720287587109,0.9479463014166397,"[2482, 5, 3807, 2215, 1653, 3341]","Set([5, 2215, 1653, 3341])",0.19637331948245618,"Set([2482, 2215, 1653, 3341])",0.20125518257842334,0.024860113934180892
0.10600209725974492,0.019692839119992558,0.8076378618394562,0.9996752883218913,"[3618, 1951, 818, 3144, 1245, 3795]","Set([3618, 1951, 1245, 3144])",0.005300119509569101,"Set([3618, 3144, 1245, 3795])",0.005373841180568495,0.013909435601648784
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3977, 653, 139, 2200, 2828, 2420, 1004]","Set([1004, 2828])",0.043826117777247764,"Set([2420, 2200])",0.04496671688634235,0.0260255566074056
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3977, 653, 139, 2200, 2828, 2420, 1004]","Set([2200, 1004, 2828])",0.12259188387785869,"Set([2420, 2200, 1004])",0.13050747193246914,0.06456861420366908
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[1889, 2173, 3090, 2151, 2654, 3931, 281]","Set([3090, 2173, 2654, 281, 1889])",0.44321591778674196,"Set([3090, 2173, 2654, 1889, 2151])",0.4483754388812716,0.011641100618169179
0.0018580860097491547,0.07326447648239098,0.9361036065745557,0.6362791333036145,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1526, 2141])",0.47345345088294477,"Set([1456, 1526])",0.5122650431476345,0.08197551880192218
0.0018580860097491547,0.07326447648239098,0.9361036065745557,0.6362791333036145,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141])",0.7488789506980609,"Set([1456, 1526, 1709])",0.764200964276237,0.020459933563219807
0.08682831899753432,0.1277117279594257,0.8011042191015638,0.8732461443648748,"[22, 265, 3135, 2335, 3796, 2922]","Set([22, 2335])",0.08657288994902368,"Set([3135, 2922])",0.09284174327442463,0.07241127481238303
0.08682831899753432,0.1277117279594257,0.8011042191015638,0.8732461443648748,"[22, 265, 3135, 2335, 3796, 2922]","Set([22, 2335, 2922])",0.14182322284378213,"Set([3135, 2335, 2922])",0.14683066144740886,0.03530760691528223
0.18649503290105626,0.2468734785900742,0.7547168570417031,0.9344543918202454,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141])",0.021129513502252006,"Set([1456, 1526, 1709])",0.022032571827309777,0.04273919155599686
0.1971715676697559,0.11744333178145797,0.8450013015652311,0.892525482371616,"[2340, 3623, 3980, 3635, 2551, 1568, 323, 3789]","Set([2340, 1568, 323])",0.07291370095537986,"Set([2340, 2551, 1568])",0.07760757890508885,0.06437580164229283
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[928, 2337, 2963, 3945, 1066, 1023, 1889]","Set([2337, 1889])",0.03683661297559815,"Set([928, 1889])",0.03728542483253483,0.01218385244142805
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[928, 2337, 2963, 3945, 1066, 1023, 1889]","Set([2337, 1889, 928])",0.11464747921061913,"Set([928, 1066, 1889])",0.12294915558038888,0.07241045705434764
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[928, 2337, 2963, 3945, 1066, 1023, 1889]","Set([2337, 1023, 1889, 928])",0.27944168344757414,"Set([1023, 928, 1066, 1889])",0.29172945159578434,0.04397256700078354
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[1862, 202, 2197, 2905, 3281, 3648, 2128]","Set([2128, 1862])",0.04004309111302784,"Set([2128, 2197])",0.04342810170762601,0.08453419804788427
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3989, 2914, 3327, 2337, 2135, 261, 1865]","Set([2337, 1865])",0.04440629971269061,"Set([2337, 2135])",0.04604663986682378,0.03693935690985722
0.19429054438579782,0.009796094043260983,0.7407615610379773,0.5303414521778291,"[3864, 2069, 2715, 203, 1989, 2464, 732]","Set([2069, 2715])",0.12739274514504473,"Set([2069, 2464])",0.13392676643938484,0.05129037204513264
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[32, 336, 3693, 584, 3039, 490, 3364]","Set([3364, 3693])",0.0381465355367725,"Set([3364, 3039])",0.04555779769631929,0.194284017021742
0.012124632106187055,0.045664397180172484,0.8339686541637764,0.814118167983133,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1526, 2141])",0.20601259329829913,"Set([1456, 1526])",0.23674573158547785,0.14918087188329401
0.012124632106187055,0.045664397180172484,0.8339686541637764,0.814118167983133,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141])",0.43668208444962386,"Set([1456, 1526, 1709])",0.4683363086168918,0.07248803029591565
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2433, 1784, 1731, 2856, 620, 2140, 2626]","Set([2856, 620, 1784, 2626, 1731])",0.44100448385920965,"Set([1731, 2856, 1784, 2626, 2140])",0.4489631374939639,0.018046650149922343
0.08854558732023997,0.03921693846898658,0.8166646490898004,0.6198067638056208,"[2777, 305, 3506, 1769, 3228, 4006, 2956, 400]","Set([305, 1769, 2956])",0.2535568512749601,"Set([2777, 1769, 2956])",0.25703496700379613,0.013717301312691964
0.1445448197378348,0.046055522801241325,0.7005569624923988,0.9316600014981959,"[2046, 2831, 3190, 3728, 654, 1303, 631, 3650]","Set([3190, 1303, 2046])",0.07375470965896491,"Set([2831, 3190, 1303])",0.07819856336229791,0.060251795768446206
0.05658558377276355,0.12423404490212814,0.8777905396612131,0.9395885778769398,"[3551, 1104, 3406, 2370, 44, 1572, 956, 1646]","Set([2370, 1646])",0.06447331170297754,"Set([1572, 1646])",0.06914361213297437,0.07243773131295729
0.05658558377276355,0.12423404490212814,0.8777905396612131,0.9395885778769398,"[3551, 1104, 3406, 2370, 44, 1572, 956, 1646]","Set([2370, 1572, 1646])",0.12883644494350688,"Set([1572, 956, 1646])",0.14460642682099434,0.12240311260064957
0.05658558377276355,0.12423404490212814,0.8777905396612131,0.9395885778769398,"[3551, 1104, 3406, 2370, 44, 1572, 956, 1646]","Set([1104, 2370, 1572, 1646])",0.223956671113843,"Set([1104, 1572, 956, 1646])",0.24435724444748952,0.09109160817663874
0.05658558377276355,0.12423404490212814,0.8777905396612131,0.9395885778769398,"[3551, 1104, 3406, 2370, 44, 1572, 956, 1646]","Set([1104, 2370, 1572, 1646, 956])",0.33605262826476323,"Set([1104, 3406, 1572, 956, 1646])",0.3398989054277056,0.011445460738703266
0.033374830933475125,0.22824581357041013,0.5629559526508464,0.9367647318965668,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1526, 2141])",0.046271095272861995,"Set([1456, 1526])",0.047360633335389424,0.023546839686901532
0.033374830933475125,0.22824581357041013,0.5629559526508464,0.9367647318965668,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141])",0.07263981708919787,"Set([1456, 1526, 1709])",0.07593289225995259,0.04533429877323341
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[1954, 2598, 746, 3358, 1588, 585, 632]","Set([1588, 2598, 3358])",0.1257185462380387,"Set([1588, 2598, 1954])",0.12702659922063064,0.010404614289090295
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2208, 29, 865, 767, 2138, 2532, 3016]","Set([2138, 2208, 3016])",0.13015804569039546,"Set([2138, 2208, 2532])",0.13930564589301708,0.07028071260674001
0.15272097375492866,0.029745257931457793,0.7326895732441672,0.7527724118405654,"[1686, 2327, 3724, 2034, 2205, 2359]","Set([1686, 2327, 3724])",0.1679380874580909,"Set([1686, 2327, 2034])",0.1697243700587513,0.010636554385592554
0.15272097375492866,0.029745257931457793,0.7326895732441672,0.7527724118405654,"[1686, 2327, 3724, 2034, 2205, 2359]","Set([1686, 2327, 3724, 2034])",0.23521252499379586,"Set([1686, 2327, 2034, 2359])",0.23784966128910845,0.011211717128508148
0.15272097375492866,0.029745257931457793,0.7326895732441672,0.7527724118405654,"[1686, 2327, 3724, 2034, 2205, 2359]","Set([1686, 2327, 3724, 2034, 2205])",0.3082020323191065,"Set([1686, 2327, 2034, 2205, 2359])",0.3124145217374803,0.01366794821785046
0.06688887761599085,0.0775069871566918,0.7618363322170906,0.9924825142114828,"[3727, 51, 438, 2271, 1991, 895, 498, 459]","Set([498, 459])",0.015938398404737764,"Set([2271, 1991])",0.016506644748304544,0.035652662779333384
0.06688887761599085,0.0775069871566918,0.7618363322170906,0.9924825142114828,"[3727, 51, 438, 2271, 1991, 895, 498, 459]","Set([438, 498, 459])",0.03230221685700607,"Set([2271, 1991, 498])",0.03478674735138343,0.07691516979703775
0.06688887761599085,0.0775069871566918,0.7618363322170906,0.9924825142114828,"[3727, 51, 438, 2271, 1991, 895, 498, 459]","Set([51, 438, 498, 459])",0.05351392063381177,"Set([2271, 1991, 498, 459])",0.05666552496169952,0.05889316818055122
0.06688887761599085,0.0775069871566918,0.7618363322170906,0.9924825142114828,"[3727, 51, 438, 2271, 1991, 895, 498, 459]","Set([51, 438, 2271, 498, 459])",0.0827227664554091,"Set([438, 2271, 1991, 498, 459])",0.0887042636071863,0.07230775043048726
0.06262226337020838,0.02330530253390002,0.803346938370784,0.6865387056300789,"[815, 3310, 2570, 2783, 3890, 2870]","Set([2570, 2870])",0.1783392875809302,"Set([2783, 2870])",0.19249452252404453,0.07937249910057363
0.06262226337020838,0.02330530253390002,0.803346938370784,0.6865387056300789,"[815, 3310, 2570, 2783, 3890, 2870]","Set([2570, 2783, 2870])",0.3390206617655067,"Set([3310, 2783, 2870])",0.35488255046859196,0.046787380510915806
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 2141])",0.0425219885599607,"Set([1526, 1709])",0.0484894220053258,0.1403375911488796
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141])",0.13288943205092452,"Set([1456, 1526, 1709])",0.16174768154789998,0.2171598527557609
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141, 1709])",0.318161133168422,"Set([1456, 1526, 2735, 1709])",0.3312186822475006,0.0410406794476888
0.15382122282252367,0.17601373624904001,0.8549058562195584,0.9911449650252826,"[2252, 1507, 2504, 2408, 248, 2355, 2889]","Set([1507, 2889])",0.006366544438485611,"Set([2408, 2355])",0.006547298653966971,0.028391259532990175
0.15382122282252367,0.17601373624904001,0.8549058562195584,0.9911449650252826,"[2252, 1507, 2504, 2408, 248, 2355, 2889]","Set([1507, 2355, 2889])",0.009789631589763648,"Set([2504, 2408, 2355])",0.011915538132657999,0.2171589935128169
0.15382122282252367,0.17601373624904001,0.8549058562195584,0.9911449650252826,"[2252, 1507, 2504, 2408, 248, 2355, 2889]","Set([1507, 2408, 2355, 2889])",0.015066997352286449,"Set([2252, 2504, 2408, 2355])",0.019309251050061538,0.2815593312048547
0.15382122282252367,0.17601373624904001,0.8549058562195584,0.9911449650252826,"[2252, 1507, 2504, 2408, 248, 2355, 2889]","Set([1507, 2504, 2408, 2355, 2889])",0.02154088134473009,"Set([2252, 1507, 2504, 2408, 2355])",0.025129777394504393,0.16660859842915926
0.18236277867990425,0.13219557117013617,0.9245398663499936,0.831615513679592,"[1978, 1547, 2622, 3323, 148, 452]","Set([1978, 1547, 3323, 148, 452])",0.19723620654750262,"Set([1978, 1547, 2622, 3323, 452])",0.20181327696501794,0.023206035532897806
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2774, 1189, 3033, 1475, 95, 575, 2181]","Set([1189, 2181])",0.03879239832313586,"Set([1189, 1475])",0.04010376339308719,0.033804691811726184
0.18170453690329885,0.10553766163537731,0.8903950154956579,0.8590578445762034,"[2587, 3082, 3444, 2734, 2595, 3208, 3002, 3357]","Set([2587, 3082, 3208, 2595, 3002])",0.18031089132931777,"Set([3082, 2734, 3208, 3002, 3357])",0.1837485926037994,0.019065411130396115
0.13563959026019776,0.021894212735733356,0.7173698643278027,0.9646635238048917,"[3593, 1316, 304, 2021, 662, 2026, 1592]","Set([3593, 1316, 304, 2021, 662, 1592])",0.18141484008922826,"Set([3593, 1316, 304, 2021, 2026, 1592])",0.1853731965320241,0.021819364065524892
0.03642243581439857,0.055441597228671084,0.9045333934190385,0.9852115368286217,"[2174, 708, 2324, 2885, 2382, 2064, 2342]","Set([2324, 2382, 2885])",0.10961105765817547,"Set([2324, 2064, 2382])",0.11212065362238166,0.022895463448883244
0.1298914520670321,0.18174290766896917,0.8856424823148705,0.8308510183494566,"[3319, 3056, 2, 3081, 1623, 2468]","Set([3319, 3081, 1623, 2468])",0.16525664576738297,"Set([3319, 3056, 3081, 1623])",0.16865939400820817,0.020590689258058337
0.17987293905289978,0.1423349922275928,0.9220666039948401,0.905738806308402,"[628, 867, 962, 3672, 2810, 2011, 2879, 2334, 3834]","Set([962, 2334])",0.0476327052251474,"Set([2011, 2334])",0.05008150352165408,0.05141001933297406
0.10051615769135597,0.10411240075686429,0.5167773392471517,0.9744933415118938,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1526, 2141])",0.013925006981374666,"Set([1456, 1526])",0.015158425432873823,0.08857578693848493
0.10051615769135597,0.10411240075686429,0.5167773392471517,0.9744933415118938,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141])",0.023216294853063424,"Set([1456, 1526, 1709])",0.026216306197775374,0.12922007424953488
0.10051615769135597,0.10411240075686429,0.5167773392471517,0.9744933415118938,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141, 1709])",0.03491969143712015,"Set([1456, 1526, 2735, 1709])",0.03580688229009765,0.025406606314808587
0.002357381186162577,0.022825512888188484,0.9607163251480675,0.7884888712631448,"[3360, 2830, 415, 959, 3977, 1992, 1177, 417, 3834]","Set([415, 417, 1177])",0.3259544178008562,"Set([415, 959, 1177])",0.3428311766681347,0.05177643850064158
0.12354629879755019,0.10374915586806846,0.9517299209713059,0.5275657427917169,"[2537, 1941, 2210, 1315, 865, 3072, 2865, 2990]","Set([1941, 1315, 2865])",0.25531170224713795,"Set([1315, 2865, 2990])",0.2584696956648782,0.012369168314436938
0.09912469210823104,0.06358944219856306,0.9472948723579702,0.8268417176678011,"[2231, 3425, 3553, 1419, 935, 3267, 2856, 121]","Set([3425, 1419, 935, 121])",0.29708013488460594,"Set([3425, 1419, 935, 3267])",0.3033420682953484,0.021078263658304664
0.0577859844642884,0.03277846233284414,0.9137927627309357,0.8765075292487154,"[2687, 2113, 3489, 1600, 1399, 3031, 3519, 1500]","Set([2113, 1500])",0.058693602093844666,"Set([1600, 1500])",0.06320609665493326,0.0768822222543713
0.0577859844642884,0.03277846233284414,0.9137927627309357,0.8765075292487154,"[2687, 2113, 3489, 1600, 1399, 3031, 3519, 1500]","Set([2113, 1399, 1500])",0.14945321631927455,"Set([1600, 1399, 1500])",0.16872570020301225,0.12895328958706515
0.0577859844642884,0.03277846233284414,0.9137927627309357,0.8765075292487154,"[2687, 2113, 3489, 1600, 1399, 3031, 3519, 1500]","Set([2113, 1600, 1399, 1500])",0.3175785167732228,"Set([1500, 1600, 1399, 2687])",0.32841541964050924,0.03412353888857314
0.17662681087409696,0.1131283040884549,0.9944692653614513,0.5813848126108294,"[3266, 1707, 303, 2267, 2855, 340, 1543]","Set([1707, 2267])",0.1390808499812639,"Set([1707, 1543])",0.14404936899112442,0.035723962073353974
0.17595590573887743,0.09875656388242285,0.7031970616071268,0.9763320088009666,"[2102, 1904, 897, 3086, 3724, 2145, 3668, 723]","Set([1904, 897, 3086, 2145])",0.03402622508406916,"Set([2102, 1904, 897, 2145])",0.035699625507454646,0.049179725909970516
0.11229696302603061,0.1789183644960411,0.7847022381099439,0.9720916590475939,"[475, 502, 2086, 2831, 692, 755, 938]","Set([475, 2831, 2086, 938])",0.04363809357224546,"Set([475, 502, 2831, 938])",0.04423854072680711,0.013759701797411686
0.07742918427990389,0.20787301903123145,0.6410148843305408,0.8936548330570501,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1526, 2141])",0.04652466116358034,"Set([1526, 1709])",0.048491407344447346,0.04227319730394045
0.07742918427990389,0.20787301903123145,0.6410148843305408,0.8936548330570501,"[3832, 1456, 1526, 845, 2141, 2735, 1709]","Set([1456, 1526, 2141])",0.07427763217707029,"Set([1456, 1526, 1709])",0.07839917161326493,0.05548829863570926
0.007195267469809208,0.020689938565679713,0.828515461337873,0.6630071280619485,"[409, 547, 2452, 151, 2888, 2185, 2700]","Set([409, 2452])",0.2004507364797018,"Set([2888, 2700])",0.20317437268597605,0.013587558988839395
